crop,region,season,crop_variety,growth_stage,application_time,soil_type,soil_ph,organic_matter,fertility_index,soil_moisture,drainage,rainfall_mm,temperature,humidity,sunshine_hours,nitrogen,phosphorus,potassium,fertilizer_type,application_method,planting_density,irrigation,previous_crop,pest_pressure,disease_risk,farmer_experience_years,farm_size_hectares,fertilizer_cost,yield_ton_per_ha,revenue,labour_cost,transport_cost,total_cost,profit,environmental_score,sustainability
Yam,Ahafo,Minor,Pona,Vegetative,Morning,Sandy,6.34,1.15,95,59,High,1320,25.5,64,9.5,97,52,105,Urea,Side Dressing,31975,Sprinkler,Cassava,High,High,1,2.78,1524,12.52,27544.0,1172,338,3034,24510.0,95.0,Excellent
Maize,Oti,Minor,Omankwa,Fruiting,Afternoon,Clay Loam,6.64,3.16,66,73,Moderate,1659,30.2,50,5.6,115,35,54,Urea,Broadcast,23061,Flood,Onion,Low,High,18,9.49,1224,3.5,11200.0,597,389,2210,8990.0,91.08,Excellent
Maize,Oti,Major,Abontem,Flowering,Afternoon,Loam,6.46,2.69,97,29,Moderate,1347,28.5,84,5.3,83,76,27,Urea,Band Placement,23235,Sprinkler,Cassava,High,High,19,14.86,1116,4.56,14592.0,578,273,1967,12625.0,87.48,Good
Groundnut,Upper West,Minor,Yenyawoso,Harvest,Evening,Clay,5.85,3.07,50,52,Low,1016,34.2,94,5.8,0,39,65,NPK 23-10-10,Side Dressing,29088,None,Plantain,Low,Medium,5,4.57,624,1.5,6300.0,552,300,1476,4824.0,88.18,Good
Maize,Volta,Major,Abontem,Harvest,Evening,Clay,6.51,3.08,59,50,Low,1296,25.4,57,6.0,112,48,45,Urea,Broadcast,30084,Flood,Soybean,High,Medium,24,1.04,1230,3.5,11200.0,770,565,2565,8635.0,95.02,Excellent
Pepper,Oti,Major,Legon 18,Harvest,Morning,Clay,5.53,2.54,66,22,Low,1496,30.6,53,7.8,163,67,95,Urea,Side Dressing,22456,Flood,Cocoa,Low,Low,19,6.69,1950,10.44,36540.0,832,295,3077,33463.0,90.7,Excellent
Onion,Savannah,Major,Red Creole,Fruiting,Afternoon,Clay Loam,6.78,3.01,93,63,Moderate,1068,27.5,74,5.6,105,43,100,Ammonium Sulphate,Broadcast,22501,Sprinkler,Yam,High,High,21,6.33,1488,15.4,43120.0,844,370,2702,40418.0,93.56,Excellent
Groundnut,Western,Major,Yenyawoso,Fruiting,Evening,Sandy Loam,6.5,2.17,61,76,Moderate,1709,25.7,86,5.1,0,40,26,NPK 23-10-10,Side Dressing,22271,Flood,Rice,Medium,Medium,16,12.52,396,1.5,6300.0,1145,316,1857,4443.0,86.78,Good
Maize,Savannah,Major,Omankwa,Harvest,Evening,Sandy Loam,6.39,2.59,81,43,Moderate,1158,31.6,46,8.4,106,53,59,NPK 23-10-10,Band Placement,28005,Flood,Plantain,High,Medium,1,13.3,1308,3.61,11552.0,684,315,2307,9245.0,92.52,Excellent
Maize,Savannah,Minor,Omankwa,Fruiting,Evening,Clay,5.57,3.65,92,53,Low,1195,35.7,59,7.4,102,85,50,Ammonium Sulphate,Broadcast,25727,Drip,Onion,Medium,Low,10,14.41,1422,3.64,11648.0,738,178,2338,9310.0,89.46,Good
Cocoa,Savannah,Minor,Amazon,Fruiting,Evening,Sandy,5.94,2.14,60,56,High,988,35.3,64,7.6,123,35,143,Ammonium Sulphate,Side Dressing,18848,Flood,Tomato,Medium,High,12,3.7,1806,0.61,10980.0,486,161,2453,8527.0,87.72,Good
Rice,Western,Minor,Jasmine,Harvest,Afternoon,Sandy,6.14,1.96,77,67,High,1686,29.7,84,8.2,78,70,56,Ammonium Sulphate,Band Placement,26588,Flood,Groundnut,Low,Low,13,5.25,1224,2.87,12915.0,598,532,2354,10561.0,90.56,Excellent
Soybean,Northern,Minor,Jenguma,Flowering,Morning,Loam,6.28,3.84,88,39,Moderate,1032,30.4,94,8.0,15,59,58,Ammonium Sulphate,Side Dressing,24908,None,Groundnut,High,High,29,1.19,792,2.07,10350.0,527,378,1697,8653.0,94.52,Excellent
Pepper,Upper East,Minor,Bird Eye,Fruiting,Afternoon,Sandy Loam,6.33,2.63,47,85,Moderate,788,36.1,53,6.9,168,80,123,Ammonium Sulphate,Band Placement,22341,Flood,Onion,High,Medium,22,4.66,2226,8.0,28000.0,692,579,3497,24503.0,88.62,Good
Cowpea,Central,Minor,Songotra,Vegetative,Afternoon,Loam,6.57,3.66,80,80,Moderate,1635,29.3,46,9.8,16,31,36,NPK 23-10-10,Broadcast,25864,Flood,Groundnut,Medium,Low,10,9.15,498,1.64,7872.0,705,195,1398,6474.0,92.38,Excellent
Rice,Western North,Major,AGRA Rice,Vegetative,Morning,Clay Loam,7.28,4.85,95,72,Moderate,1659,27.3,86,8.6,107,50,47,NPK 23-10-10,Broadcast,30203,Sprinkler,Yam,Medium,Medium,8,8.12,1224,4.54,20430.0,741,485,2450,17980.0,98.2,Excellent
Cocoa,Upper East,Major,Amelonado,Flowering,Morning,Sandy Loam,6.98,3.26,87,21,Moderate,802,38.4,53,9.7,54,36,124,NPK 15-15-15,Side Dressing,30072,None,Rice,Low,High,8,12.32,1284,0.6,10800.0,1171,490,2945,7855.0,90.82,Excellent
Onion,Bono,Major,Texas Grano,Harvest,Evening,Clay,6.99,2.17,51,60,Low,1356,28.1,92,7.0,134,48,112,Ammonium Sulphate,Band Placement,24582,Flood,Rice,Medium,High,10,7.32,1764,12.0,33600.0,495,411,2670,30930.0,89.08,Good
Cocoa,Western North,Major,Amelonado,Flowering,Evening,Sandy Loam,6.46,2.29,84,22,Moderate,2072,26.9,71,7.0,97,65,103,Urea,Band Placement,23621,Sprinkler,Maize,High,High,20,1.48,1590,1.59,28620.0,1118,269,2977,25643.0,83.28,Good
Yam,Ashanti,Major,Pona,Harvest,Evening,Clay,5.92,2.96,60,74,Low,1295,26.5,63,9.3,82,44,99,Urea,Broadcast,23809,None,Tomato,Low,High,13,5.95,1350,10.0,22000.0,714,380,2444,19556.0,89.46,Good
Tomato,Bono,Minor,Pectomech,Fruiting,Evening,Clay,6.74,2.01,65,53,Low,1356,26.1,61,7.3,146,61,96,NPK 23-10-10,Side Dressing,21701,Flood,Cocoa,Low,Medium,3,8.29,1818,15.18,37950.0,1116,536,3470,34480.0,90.78,Excellent
Soybean,Oti,Minor,Anidaso,Fruiting,Afternoon,Sandy,5.76,1.28,54,65,High,1348,24.6,58,9.6,55,68,47,Urea,Band Placement,30655,Sprinkler,Cowpea,Low,Medium,7,14.29,1020,2.0,10000.0,1194,425,2639,7361.0,92.72,Excellent
Onion,Bono East,Minor,Red Creole,Harvest,Evening,Sandy,6.21,1.78,90,29,High,1167,27.1,84,9.0,91,70,89,Urea,Band Placement,31232,None,Soybean,Medium,Medium,25,9.5,1500,14.51,40628.0,610,587,2697,37931.0,94.2,Excellent
Rice,North East,Minor,NERICA,Harvest,Evening,Sandy,6.49,2.44,49,53,High,873,33.0,90,8.8,109,37,41,NPK 23-10-10,Side Dressing,27940,Drip,Pepper,Low,Low,23,9.32,1122,2.5,11250.0,874,531,2527,8723.0,93.9,Excellent
Tomato,Bono East,Major,Pectomech,Planting,Evening,Sandy,5.44,1.6,57,51,High,1160,25.4,57,6.5,120,76,136,Urea,Band Placement,21207,None,Rice,Medium,Low,2,3.25,1992,15.0,37500.0,703,155,2850,34650.0,78.84,Good
Groundnut,Bono,Major,Yenyawoso,Planting,Evening,Clay,5.98,2.81,98,75,Low,1308,26.2,80,6.5,15,82,44,Urea,Band Placement,19960,Drip,Plantain,High,Low,5,6.4,846,2.35,9870.0,1012,286,2144,7726.0,92.28,Excellent
Onion,Ahafo,Minor,Red Creole,Flowering,Evening,Sandy,5.63,1.16,89,68,High,1242,29.5,91,9.0,118,79,104,NPK 15-15-15,Broadcast,18964,Drip,Cassava,High,Medium,5,12.1,1806,16.52,46256.0,948,222,2976,43280.0,91.86,Excellent
Soybean,Central,Major,Jenguma,Fruiting,Afternoon,Clay Loam,6.85,3.95,54,23,Moderate,1605,24.4,95,6.9,57,57,75,Urea,Band Placement,27386,None,Yam,Low,Low,12,8.75,1134,2.0,10000.0,1049,474,2657,7343.0,89.58,Good
Cocoa,Western North,Major,Amelonado,Vegetative,Evening,Sandy,5.07,1.97,74,54,High,2066,21.4,57,5.8,121,41,134,Ammonium Sulphate,Side Dressing,20110,Sprinkler,Tomato,High,Medium,4,2.6,1776,0.9,16200.0,702,321,2799,13401.0,71.02,Fair
Cassava,Ahafo,Minor,Ampong,Harvest,Evening,Clay Loam,6.6,5.02,47,56,Moderate,1211,27.7,54,9.6,120,16,66,NPK 23-10-10,Band Placement,18209,Flood,Onion,Medium,Medium,9,7.04,1212,10.0,9000.0,1109,460,2781,6219.0,86.8,Good
Onion,Ashanti,Minor,Red Creole,Planting,Evening,Sandy Loam,6.27,3.38,58,24,Moderate,1457,30.7,82,7.5,82,59,86,Urea,Band Placement,31193,Drip,Tomato,High,High,16,8.2,1362,12.0,33600.0,853,522,2737,30863.0,94.02,Excellent
Soybean,Volta,Major,Anidaso,Planting,Morning,Loam,7.06,2.85,82,22,Moderate,1399,28.9,48,7.1,1,51,81,NPK 23-10-10,Side Dressing,24261,None,Pepper,Medium,High,9,10.15,798,2.01,10050.0,481,535,1814,8236.0,86.82,Good
Plantain,Ashanti,Major,Oniaba,Harvest,Morning,Clay,6.79,3.04,96,61,Low,1306,25.0,93,8.6,191,100,235,Urea,Band Placement,19202,None,Pepper,Medium,High,24,1.19,3156,15.23,19799.0,715,375,4246,15553.0,93.48,Excellent
Cassava,North East,Minor,Ampong,Planting,Evening,Clay Loam,6.5,3.55,87,70,Moderate,954,32.2,85,5.3,113,15,90,Urea,Side Dressing,30437,Flood,Cocoa,High,High,25,6.5,1308,10.0,9000.0,789,502,2599,6401.0,88.56,Good
Cocoa,Eastern,Minor,Amazon,Harvest,Evening,Loam,6.86,4.75,93,34,Moderate,1395,29.0,55,7.6,117,33,104,NPK 23-10-10,Band Placement,21435,None,Soybean,High,High,11,6.69,1524,1.59,28620.0,1097,575,3196,25424.0,89.62,Good
Soybean,Volta,Minor,Anidaso,Harvest,Morning,Clay Loam,6.33,5.43,91,55,Moderate,1512,31.5,62,6.6,63,65,71,Ammonium Sulphate,Band Placement,20401,None,Tomato,Medium,High,7,1.68,1194,3.65,18250.0,752,500,2446,15804.0,90.98,Excellent
Yam,Eastern,Minor,Lariboko,Flowering,Evening,Sandy,6.06,1.44,78,69,High,1534,29.7,50,9.8,80,62,123,Urea,Broadcast,31746,None,Plantain,High,Medium,14,4.23,1590,12.26,26972.0,1027,358,2975,23997.0,95.42,Excellent
Onion,Bono,Minor,Texas Grano,Fruiting,Afternoon,Sandy Loam,6.09,3.45,96,26,Moderate,1157,28.5,73,7.6,142,48,87,NPK 23-10-10,Broadcast,31681,None,Soybean,Low,Low,3,11.5,1662,17.59,49252.0,886,483,3031,46221.0,91.06,Excellent
Cocoa,Eastern,Minor,Amazon,Vegetative,Morning,Loam,6.37,4.16,55,81,Moderate,1568,24.2,79,9.0,98,46,130,NPK 15-15-15,Side Dressing,28296,Sprinkler,Soybean,High,High,2,14.35,1644,1.07,19260.0,918,167,2729,16531.0,96.54,Excellent
Pepper,Greater Accra,Major,Legon 18,Flowering,Evening,Sandy Loam,6.7,2.75,78,71,Moderate,701,25.6,66,9.4,141,92,116,NPK 15-15-15,Band Placement,23346,Sprinkler,Pepper,Medium,Low,12,4.05,2094,8.0,28000.0,802,170,3066,24934.0,92.1,Excellent
Plantain,Western North,Minor,Apantu,Fruiting,Evening,Loam,6.47,4.24,95,58,Moderate,1741,25.0,48,8.1,239,101,229,NPK 15-15-15,Side Dressing,29319,Drip,Yam,High,Medium,14,6.94,3414,19.66,25558.0,1099,228,4741,20817.0,86.78,Good
Cowpea,Ahafo,Major,Songotra,Planting,Afternoon,Loam,6.67,4.65,88,83,Moderate,1364,27.8,95,8.2,38,51,40,NPK 23-10-10,Broadcast,20600,Flood,Cassava,Medium,Medium,7,14.16,774,2.31,11088.0,889,478,2141,8947.0,94.98,Excellent
Cowpea,Oti,Minor,Songotra,Planting,Afternoon,Clay,5.62,3.56,81,32,Low,1587,27.9,46,9.2,57,62,24,Ammonium Sulphate,Band Placement,24138,Sprinkler,Rice,Low,High,22,10.48,858,2.1,10080.0,714,459,2031,8049.0,88.02,Good
Cassava,Greater Accra,Major,Afisiafi,Fruiting,Afternoon,Loam,6.62,4.11,87,80,Moderate,858,29.9,78,8.8,84,43,83,Ammonium Sulphate,Band Placement,24213,Sprinkler,Plantain,Low,Medium,1,5.74,1260,10.25,9225.0,1027,284,2571,6654.0,97.72,Excellent
Cocoa,Oti,Major,Amazon,Fruiting,Evening,Sandy Loam,6.76,2.35,54,20,Moderate,1541,28.3,51,6.7,124,37,144,NPK 15-15-15,Band Placement,24634,Drip,Pepper,Low,Medium,7,5.72,1830,0.96,17280.0,527,176,2533,14747.0,87.8,Good
Cocoa,Bono East,Major,Amazon,Flowering,Evening,Clay Loam,7.44,3.6,49,53,Moderate,1129,28.2,59,8.8,118,50,103,NPK 23-10-10,Band Placement,23984,Flood,Cowpea,Medium,Medium,9,2.01,1626,0.6,10800.0,1063,524,3213,7587.0,90.8,Excellent
Cocoa,Oti,Major,Amelonado,Fruiting,Evening,Clay Loam,7.0,3.38,100,38,Moderate,1468,30.0,68,7.3,118,43,118,Urea,Side Dressing,18289,Sprinkler,Groundnut,High,High,10,12.58,1674,1.64,29520.0,913,200,2787,26733.0,94.16,Excellent
Cocoa,Upper West,Major,Amelonado,Vegetative,Evening,Sandy Loam,6.0,2.43,92,58,Moderate,934,34.5,52,8.9,106,20,114,NPK 15-15-15,Band Placement,19667,Sprinkler,Soybean,High,Medium,21,10.89,1440,0.6,10800.0,904,492,2836,7964.0,90.54,Excellent
Plantain,North East,Minor,Apantu,Planting,Evening,Sandy,5.78,1.33,63,67,High,939,34.9,81,6.7,211,67,232,Ammonium Sulphate,Broadcast,21128,Flood,Rice,Low,Low,15,5.55,3060,12.0,15600.0,1074,583,4717,10883.0,89.72,Good
Maize,Western,Major,Obatanpa,Fruiting,Afternoon,Sandy Loam,6.45,3.4,56,60,Moderate,2186,28.3,62,7.9,120,78,21,Ammonium Sulphate,Side Dressing,20557,None,Yam,Medium,High,26,11.82,1314,3.5,11200.0,1189,555,3058,8142.0,84.62,Good
Plantain,Western,Minor,Apantu,Vegetative,Afternoon,Clay,6.82,3.59,90,72,Low,1802,28.3,76,10.0,165,96,228,Ammonium Sulphate,Broadcast,20176,Drip,Pepper,Low,Low,8,12.11,2934,17.3,22490.0,1171,249,4354,18136.0,80.42,Good
Plantain,Bono,Minor,Apem,Vegetative,Morning,Clay,6.96,2.45,70,48,Low,1339,31.2,64,5.8,200,95,270,Ammonium Sulphate,Band Placement,30593,None,Yam,Medium,High,1,3.34,3390,12.0,15600.0,1083,155,4628,10972.0,95.3,Excellent
Cocoa,Western,Major,Amazon,Flowering,Evening,Sandy Loam,6.79,3.03,99,63,Moderate,2047,28.7,80,9.1,73,62,121,NPK 23-10-10,Side Dressing,25714,Sprinkler,Yam,Low,Low,29,7.85,1536,1.84,33120.0,799,369,2704,30416.0,85.02,Good
Plantain,Bono,Major,Apem,Vegetative,Morning,Clay,6.8,3.61,50,33,Low,1185,23.7,85,8.3,234,96,275,NPK 23-10-10,Band Placement,31271,Sprinkler,Soybean,Medium,Medium,9,9.62,3630,12.0,15600.0,781,508,4919,10681.0,88.06,Good
Tomato,Upper East,Minor,Pectomech,Flowering,Afternoon,Clay Loam,7.0,4.91,89,63,Moderate,739,29.3,51,9.0,120,68,119,Ammonium Sulphate,Broadcast,26375,None,Cocoa,Medium,Low,2,3.49,1842,15.0,37500.0,1058,426,3326,34174.0,91.78,Excellent
Rice,Greater Accra,Minor,NERICA,Fruiting,Evening,Clay,6.79,3.88,61,68,Low,777,32.0,79,8.9,77,35,26,NPK 15-15-15,Band Placement,28844,Drip,Tomato,Low,Medium,9,14.63,828,2.5,11250.0,513,244,1585,9665.0,88.24,Good
Groundnut,Greater Accra,Minor,Nkate SARI,Planting,Morning,Clay,6.2,2.97,91,21,Low,700,29.6,94,7.0,38,77,67,Ammonium Sulphate,Band Placement,19776,Drip,Groundnut,Medium,Low,24,9.25,1092,1.5,6300.0,831,484,2407,3893.0,90.86,Excellent
Groundnut,Volta,Major,Nkate SARI,Planting,Afternoon,Clay Loam,6.59,3.12,64,33,Moderate,1275,23.4,79,7.6,49,59,61,NPK 23-10-10,Broadcast,21705,Drip,Soybean,Medium,High,11,12.04,1014,1.62,6804.0,839,389,2242,4562.0,93.48,Excellent
Pepper,Bono,Minor,Legon 18,Planting,Afternoon,Clay,6.69,3.14,81,82,Low,1218,28.5,46,6.9,91,59,104,NPK 23-10-10,Band Placement,31342,None,Yam,High,Medium,22,1.27,1524,9.68,33880.0,1155,592,3271,30609.0,89.48,Good
Onion,Greater Accra,Minor,Red Creole,Harvest,Morning,Loam,6.14,3.33,60,28,Moderate,848,28.5,45,7.3,146,50,105,Ammonium Sulphate,Side Dressing,20269,Sprinkler,Cassava,Medium,Low,5,3.03,1806,12.0,33600.0,1152,537,3495,30105.0,88.62,Good
Maize,Western,Minor,Omankwa,Flowering,Evening,Clay,6.32,3.51,97,58,Low,1610,23.1,83,6.2,104,78,54,NPK 15-15-15,Broadcast,24688,Sprinkler,Groundnut,Low,Medium,28,1.72,1416,4.99,15968.0,659,343,2418,13550.0,90.64,Excellent
Plantain,Upper East,Major,Apem,Planting,Morning,Clay Loam,6.37,3.22,66,67,Moderate,741,31.7,93,5.4,225,105,262,Ammonium Sulphate,Side Dressing,27473,None,Tomato,Medium,High,15,1.95,3552,12.0,15600.0,483,588,4623,10977.0,90.04,Excellent
Groundnut,Greater Accra,Major,Nkate SARI,Flowering,Afternoon,Clay,5.61,2.51,89,68,Low,828,29.1,48,9.5,0,56,30,Ammonium Sulphate,Band Placement,26861,Drip,Cocoa,High,High,19,5.15,516,1.5,6300.0,794,436,1746,4554.0,91.02,Excellent
Pepper,Western,Minor,Legon 18,Fruiting,Afternoon,Loam,6.37,4.85,86,78,Moderate,2046,28.9,45,6.9,119,50,125,Ammonium Sulphate,Broadcast,18730,Drip,Tomato,Low,Medium,19,11.97,1764,14.47,50645.0,1139,521,3424,47221.0,82.92,Good
Groundnut,Western North,Minor,Yenyawoso,Flowering,Morning,Sandy,5.88,2.05,73,47,High,1600,23.4,62,9.5,0,69,30,Urea,Band Placement,18320,Sprinkler,Pepper,Low,Medium,2,7.1,594,1.5,6300.0,997,334,1925,4375.0,89.92,Good
Plantain,Oti,Minor,Oniaba,Fruiting,Morning,Clay Loam,6.71,3.77,73,66,Moderate,1353,23.9,75,9.8,197,108,272,Urea,Band Placement,23593,Flood,Cassava,High,High,26,7.11,3462,12.82,16666.0,1099,445,5006,11660.0,91.54,Excellent
Tomato,Savannah,Minor,Power Rano,Planting,Morning,Sandy Loam,6.43,2.7,71,21,Moderate,1196,27.1,77,6.3,165,79,141,NPK 23-10-10,Side Dressing,29760,Flood,Rice,Low,High,5,14.01,2310,18.13,45325.0,887,167,3364,41961.0,93.3,Excellent
Plantain,Western,Minor,Apantu,Fruiting,Evening,Clay Loam,6.85,5.06,54,68,Moderate,1983,25.7,93,8.3,188,96,254,NPK 23-10-10,Side Dressing,31236,Flood,Rice,High,Low,2,14.22,3228,12.0,15600.0,766,213,4207,11393.0,87.8,Good
Cassava,Volta,Major,Ampong,Vegetative,Evening,Clay,5.8,2.46,88,50,Low,1216,26.7,86,9.6,56,65,64,NPK 23-10-10,Side Dressing,27656,Drip,Pepper,Medium,Medium,1,11.92,1110,13.38,12042.0,428,577,2115,9927.0,85.5,Good
Soybean,North East,Major,Anidaso,Fruiting,Evening,Clay Loam,7.32,3.81,53,59,Moderate,938,34.2,57,6.7,1,53,67,Urea,Broadcast,25903,None,Maize,Medium,Medium,9,8.2,726,2.0,10000.0,744,297,1767,8233.0,89.78,Good
Cowpea,Savannah,Major,Songotra,Planting,Morning,Sandy,5.38,1.54,64,38,High,1196,33.9,93,9.0,47,30,40,NPK 23-10-10,Band Placement,24720,Sprinkler,Cassava,Medium,Medium,26,0.93,702,1.2,5760.0,834,431,1967,3793.0,76.74,Good
Cowpea,Upper West,Major,Songotra,Vegetative,Morning,Loam,7.07,4.79,47,31,Moderate,917,35.7,53,5.8,59,75,40,Ammonium Sulphate,Band Placement,21421,Drip,Cowpea,Medium,High,17,11.76,1044,1.2,5760.0,931,404,2379,3381.0,87.68,Good
Tomato,Bono,Minor,Roma,Vegetative,Afternoon,Sandy,5.71,2.0,70,59,High,1390,26.3,71,5.9,148,62,122,NPK 15-15-15,Broadcast,21189,Drip,Cowpea,High,High,1,7.33,1992,16.1,40250.0,480,509,2981,37269.0,95.32,Excellent
Maize,Western North,Minor,Obatanpa,Flowering,Evening,Loam,6.88,4.14,45,30,Moderate,1681,22.2,46,5.7,142,58,34,Urea,Band Placement,19094,Flood,Pepper,High,Medium,20,2.49,1404,3.5,11200.0,469,178,2051,9149.0,94.52,Excellent
Pepper,Volta,Major,Bird Eye,Fruiting,Afternoon,Loam,6.49,4.2,73,52,Moderate,1532,29.7,94,5.5,125,55,88,NPK 23-10-10,Side Dressing,24524,None,Groundnut,High,Medium,10,11.16,1608,11.59,40565.0,593,253,2454,38111.0,91.84,Excellent
Maize,Upper East,Minor,Omankwa,Vegetative,Morning,Sandy,5.64,2.19,100,53,High,984,30.6,79,8.5,122,63,53,NPK 23-10-10,Broadcast,20204,Flood,Groundnut,Low,Medium,24,10.12,1428,3.5,11200.0,1120,201,2749,8451.0,96.64,Excellent
Plantain,Western,Major,Oniaba,Planting,Afternoon,Clay Loam,7.47,5.44,87,36,Moderate,1645,27.8,81,7.2,163,104,233,Urea,Broadcast,27362,Drip,Maize,Low,High,5,8.47,3000,18.13,23569.0,529,271,3800,19769.0,87.2,Good
Tomato,Central,Minor,Roma,Planting,Afternoon,Clay Loam,6.51,3.4,51,63,Moderate,1694,28.2,57,8.8,178,95,118,Urea,Broadcast,19266,Flood,Tomato,High,High,15,1.71,2346,17.33,43325.0,419,553,3318,40007.0,91.3,Excellent
Groundnut,Western,Minor,Yenyawoso,Planting,Afternoon,Clay Loam,6.62,3.96,67,30,Moderate,1787,24.4,74,9.1,51,69,40,NPK 15-15-15,Broadcast,22921,Flood,Yam,Medium,Low,25,13.9,960,2.09,8778.0,872,395,2227,6551.0,91.54,Excellent
Cassava,Oti,Major,Afisiafi,Flowering,Morning,Sandy Loam,6.42,2.33,100,68,Moderate,1622,30.1,64,8.1,96,45,62,Urea,Band Placement,30331,Sprinkler,Tomato,High,High,21,1.12,1218,18.98,17082.0,985,174,2377,14705.0,94.58,Excellent
Tomato,Ashanti,Minor,Power Rano,Vegetative,Afternoon,Sandy,6.08,1.85,45,28,High,1441,27.2,71,9.8,163,99,117,Ammonium Sulphate,Broadcast,25829,Flood,Cassava,Medium,Low,13,6.04,2274,15.0,37500.0,1110,576,3960,33540.0,92.94,Excellent
Cassava,Upper East,Minor,Bankye Hemaa,Harvest,Morning,Sandy,5.89,1.13,62,27,High,716,30.6,95,8.0,62,58,76,NPK 23-10-10,Band Placement,21960,None,Yam,Low,Medium,6,12.38,1176,10.0,9000.0,467,282,1925,7075.0,90.28,Excellent
Groundnut,Volta,Major,Yenyawoso,Planting,Evening,Loam,6.26,3.32,78,54,Moderate,1233,27.7,53,9.6,42,54,35,NPK 23-10-10,Side Dressing,26826,Drip,Cocoa,Medium,High,14,10.42,786,2.31,9702.0,892,553,2231,7471.0,92.92,Excellent
Groundnut,Upper East,Major,Nkate SARI,Harvest,Morning,Clay,6.2,3.56,70,61,Low,786,30.0,94,9.6,0,37,71,NPK 23-10-10,Broadcast,27914,None,Plantain,Low,High,21,1.31,648,1.5,6300.0,864,358,1870,4430.0,86.66,Good
Rice,Oti,Minor,NERICA,Vegetative,Afternoon,Clay,5.89,3.88,90,56,Low,1557,26.9,92,8.5,82,66,40,NPK 15-15-15,Band Placement,28145,Flood,Plantain,Low,High,23,11.37,1128,3.79,17055.0,853,336,2317,14738.0,91.44,Excellent
Pepper,North East,Major,Cayenne,Flowering,Morning,Clay,6.78,3.48,87,43,Low,1025,33.3,82,5.1,134,56,117,Ammonium Sulphate,Side Dressing,29369,Drip,Onion,Medium,Low,8,12.49,1842,8.34,29190.0,500,263,2605,26585.0,94.94,Excellent
Tomato,Western North,Major,Pectomech,Flowering,Afternoon,Loam,7.18,3.56,51,42,Moderate,1854,26.0,88,6.0,129,73,143,Ammonium Sulphate,Band Placement,18354,Sprinkler,Tomato,High,Medium,6,1.3,2070,15.34,38350.0,445,315,2830,35520.0,82.54,Good
Rice,Ahafo,Major,AGRA Rice,Vegetative,Morning,Sandy,5.55,1.53,79,83,High,1367,22.8,46,7.4,66,62,42,NPK 15-15-15,Band Placement,20488,Drip,Cocoa,High,High,10,14.22,1020,2.5,11250.0,472,190,1682,9568.0,89.8,Good
Plantain,Eastern,Minor,Oniaba,Flowering,Morning,Sandy,6.41,2.16,49,31,High,1367,24.6,77,9.0,191,111,247,NPK 15-15-15,Band Placement,29722,Drip,Yam,High,Medium,20,14.43,3294,12.0,15600.0,470,465,4229,11371.0,93.22,Excellent
Yam,Bono East,Minor,Lariboko,Fruiting,Afternoon,Sandy Loam,6.32,2.46,77,36,Moderate,1183,28.5,52,9.5,95,61,110,NPK 15-15-15,Band Placement,19971,Flood,Cassava,Low,High,22,13.15,1596,11.41,25102.0,1133,371,3100,22002.0,97.08,Excellent
Tomato,Central,Major,Power Rano,Planting,Afternoon,Loam,6.07,4.02,87,69,Moderate,1623,30.5,65,5.2,174,77,137,Ammonium Sulphate,Side Dressing,25297,Flood,Rice,Medium,Low,22,3.63,2328,27.79,69475.0,424,408,3160,66315.0,91.96,Excellent
Maize,Ahafo,Major,Omankwa,Planting,Morning,Sandy,6.1,1.9,76,85,High,1345,28.1,71,8.7,147,67,50,NPK 15-15-15,Side Dressing,27730,Drip,Maize,Medium,Medium,22,2.16,1584,4.17,13344.0,968,417,2969,10375.0,91.8,Excellent
Rice,Western North,Minor,AGRA Rice,Planting,Evening,Clay,6.44,3.32,69,62,Low,1961,28.5,83,5.2,111,73,60,NPK 23-10-10,Band Placement,25841,Drip,Cowpea,Low,Low,16,14.26,1464,3.44,15480.0,560,571,2595,12885.0,83.16,Good
Maize,Bono East,Minor,Omankwa,Fruiting,Morning,Sandy,5.7,1.33,91,23,High,1098,28.1,67,7.1,148,49,18,Ammonium Sulphate,Side Dressing,25265,Sprinkler,Rice,High,Medium,12,14.67,1290,3.5,11200.0,609,360,2259,8941.0,88.58,Good
Groundnut,Northern,Minor,Nkate SARI,Fruiting,Afternoon,Clay Loam,7.08,4.12,49,63,Moderate,1188,26.4,72,6.9,47,41,30,Ammonium Sulphate,Band Placement,23805,Flood,Maize,Medium,High,20,12.04,708,1.5,6300.0,612,305,1625,4675.0,88.26,Good
Tomato,Ahafo,Minor,Pectomech,Vegetative,Evening,Clay Loam,7.25,3.87,66,47,Moderate,1275,22.1,47,5.7,140,104,125,Ammonium Sulphate,Band Placement,31018,Drip,Maize,High,Low,4,5.99,2214,15.61,39025.0,892,205,3311,35714.0,92.02,Excellent
Plantain,Volta,Major,Apem,Flowering,Afternoon,Sandy,5.22,2.0,53,67,High,1480,27.3,54,5.1,197,86,245,NPK 15-15-15,Side Dressing,18947,Sprinkler,Pepper,High,Low,17,14.91,3168,12.0,15600.0,1081,438,4687,10913.0,85.68,Good
Plantain,Greater Accra,Minor,Oniaba,Fruiting,Evening,Clay,6.07,2.78,45,45,Low,817,27.1,77,7.4,196,80,258,NPK 23-10-10,Side Dressing,18973,None,Maize,High,Low,10,3.74,3204,12.0,15600.0,714,466,4384,11216.0,95.64,Excellent
